owner,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Tushar,6dVa7xk5dOoT6pOkDw1TM,Brother,Kodaline,0.493,0.636,10.0,-5.894,1.0,0.049,0.341,0.0,0.201,0.228,120.13600000000001,201980.0,4.0
Tushar,6ZahaGPhyiXTi1pLEtGM6,Sweet Little Lies,bülow,0.648,0.727,0.0,-3.7910000000000004,1.0,0.142,0.22899999999999998,0.0,0.17,0.6890000000000001,160.024,175067.0,4.0
Tushar,1snWlbcbgQpJfknoI30DW,Darkside,Alan Walker,0.425,0.642,4.0,-5.06,0.0,0.0502,0.16399999999999998,0.0,0.11800000000000001,0.11199999999999999,170.00799999999998,211867.0,4.0
Tushar,6Sq3AiBZZEfiF21x6ESrI,Good Time - R3HAB Remix,Ocean Park Standoff,0.507,0.813,0.0,-5.7,0.0,0.0494,0.009179999999999999,0.0,0.259,0.501,145.195,186207.0,4.0
Tushar,53CJANUxooaqGOtdsBTh7,Old Town Road,Lil Nas X,0.9079999999999999,0.517,1.0,-6.063,1.0,0.129,0.0361,1.73e-06,0.0949,0.47100000000000003,136.019,113013.0,4.0
Tushar,5Y1gZ4zoQBwmzu1KXXlTB,A Capella,Chase Goehring,0.636,0.6809999999999999,6.0,-6.3389999999999995,0.0,0.084,0.16399999999999998,1.18e-06,0.16699999999999998,0.308,121.93299999999999,303263.0,4.0
Tushar,76t5B0ttSAje5KHmQbv88,Treat You Better,Shawn Mendes,0.6829999999999999,0.797,10.0,-4.085,0.0,0.24600000000000002,0.107,0.0,0.114,0.758,82.916,187973.0,4.0
Tushar,16pwlVsypm4aDKMhXdOuX,Animals,Maroon 5,0.27899999999999997,0.742,4.0,-6.46,0.0,0.0898,0.000185,0.0,0.593,0.32799999999999996,189.868,231013.0,4.0
Tushar,1dNIEtp7AY3oDAKCGg2Xk,Something Just Like This,The Chainsmokers,0.607,0.649,11.0,-6.695,0.0,0.0362,0.0306,2.46e-05,0.174,0.505,102.99600000000001,247627.0,4.0
Tushar,0OlnLZY4cmQzT6ZGttvWB,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,0.526,0.52,6.0,-7.985,0.0,0.0569,0.435,0.0,0.19699999999999998,0.13,149.119,183637.0,4.0
